type,simulationRun,threshold,mean_score,max_score,p95_score,n_above,max_consec
normal,347,0.687,0.6226105690002441,0.6574768424034119,0.6537410616874695,0,0
normal,358,0.6,0.6050887107849121,0.6705459356307983,0.6546314358711243,49,19
normal,358,0.62,0.6050887107849121,0.6705459356307983,0.6546314358711243,23,10
normal,358,0.64,0.6050887107849121,0.6705459356307983,0.6546314358711243,9,5
normal,358,0.66,0.6050887107849121,0.6705459356307983,0.6546314358711243,3,3
normal,358,0.687,0.6050887107849121,0.6705459356307983,0.6546314358711243,0,0
normal,360,0.6,0.6195703744888306,0.6927360892295837,0.6536240577697754,74,50
normal,360,0.62,0.6195703744888306,0.6927360892295837,0.6536240577697754,44,10
normal,360,0.64,0.6195703744888306,0.6927360892295837,0.6536240577697754,11,7
normal,360,0.66,0.6195703744888306,0.6927360892295837,0.6536240577697754,4,4
normal,360,0.687,0.6195703744888306,0.6927360892295837,0.6536240577697754,2,2
normal,367,0.6,0.6354024410247803,0.7011153697967529,0.6763960123062134,74,50
normal,367,0.62,0.6354024410247803,0.7011153697967529,0.6763960123062134,64,23
normal,367,0.64,0.6354024410247803,0.7011153697967529,0.6763960123062134,44,14
normal,367,0.66,0.6354024410247803,0.7011153697967529,0.6763960123062134,21,7
normal,367,0.687,0.6354024410247803,0.7011153697967529,0.6763960123062134,1,1
normal,374,0.6,0.6280214786529541,0.6844517588615417,0.6697695255279541,79,25
normal,374,0.62,0.6280214786529541,0.6844517588615417,0.6697695255279541,58,18
normal,374,0.64,0.6280214786529541,0.6844517588615417,0.6697695255279541,26,11
normal,374,0.66,0.6280214786529541,0.6844517588615417,0.6697695255279541,11,7
normal,374,0.687,0.6280214786529541,0.6844517588615417,0.6697695255279541,0,0
normal,378,0.6,0.6160652041435242,0.6667273640632629,0.6536062359809875,65,32
normal,378,0.62,0.6160652041435242,0.6667273640632629,0.6536062359809875,49,29
normal,378,0.64,0.6160652041435242,0.6667273640632629,0.6536062359809875,18,6
normal,378,0.66,0.6160652041435242,0.6667273640632629,0.6536062359809875,1,1
normal,378,0.687,0.6160652041435242,0.6667273640632629,0.6536062359809875,0,0
normal,380,0.6,0.6287552714347839,0.7031757831573486,0.6874255537986755,72,48
normal,380,0.62,0.6287552714347839,0.7031757831573486,0.6874255537986755,57,42
