type,simulationRun,relationship,score_type,mean_score,max_score,p95_score,n_above_p99,max_consec_p99,event_p99
normal,48,act_A_C_Feed_Flow->Reactor_Feed_Rate,actuator_process_residual,0.7974515362700277,0.930140362257203,0.9086155068493866,0,0,0
normal,48,act_A_Feed_Flow->Reactor_Feed_Rate,actuator_process_residual,0.7941511209776029,0.9268597304252374,0.9084756993290135,0,0,0
normal,48,act_D_Feed_Flow->Reactor_Feed_Rate,actuator_process_residual,0.7899491175016223,0.9273901215621183,0.9116968731894283,0,0,0
normal,48,act_Condenser_Cooling_Water_Flow->Separator_Temperature,actuator_process_residual,0.759109367798385,1.1320803304153186,1.0590996484885855,0,0,0
normal,48,act_Condenser_Cooling_Water_Outlet_Temperature->Separator_Temperature,actuator_process_residual,0.7561646247903755,1.2101519119169355,1.0215239419865734,0,0,0
normal,48,act_Separator_Temperature->Separator_Pressure,actuator_process_residual,0.7674683214366488,1.229782980691066,1.0391491035255769,0,0,0
normal,48,pair_Reactor_Feed_Rate_vs_Reactor_Temperature,pair_correlation_deviation,0.5602199011274172,1.9797416220191248,1.3702542850169024,0,0,0
normal,48,pair_Separator_Temperature_vs_Separator_Pressure,pair_correlation_deviation,0.7350976745405015,2.107900817269936,1.4738981584008037,0,0,0
normal,48,pair_Reactor_Temperature_vs_Reactor_Pressure,pair_correlation_deviation,0.7818720817297895,2.486460495429318,1.6546862054190028,1,1,0
normal,48,lag_Reactor_Cooling_Water_Flow->Reactor_Temperature_lag5,lagged_correlation_deviation,0.8639834241724725,2.717220676944646,2.219858207594272,2,1,0
normal,48,lag_A_C_Feed_Flow->Reactor_Feed_Rate_lag5,lagged_correlation_deviation,0.6927401556934677,1.8788766188564199,1.5634064678754185,0,0,0
normal,48,lag_Condenser_Cooling_Water_Flow->Separator_Temperature_lag5,lagged_correlation_deviation,0.6330895098000416,2.2175075502598465,1.567842109978014,0,0,0
normal,48,lag_Reactor_Cooling_Water_Flow->Reactor_Temperature_lag10,lagged_correlation_deviation,0.9701934151160764,2.5367336978544097,2.270336500866534,1,1,0
normal,48,lag_A_C_Feed_Flow->Reactor_Feed_Rate_lag10,lagged_correlation_deviation,0.8449585790281099,2.3310013786369406,1.9513277572766343,0,0,0
normal,48,lag_Condenser_Cooling_Water_Flow->Separator_Temperature_lag10,lagged_correlation_deviation,0.6136417934178984,1.695684696701737,1.5255517872814641,0,0,0
normal,50,act_Reactor_Cooling_Water_Flow->Reactor_Temperature,actuator_process_residual,0.7897208758519845,0.9347363529924546,0.8711556750160228,0,0,0
normal,50,act_Reactor_Cooling_Water_Outlet_Temperature->Reactor_Temperature,actuator_process_residual,0.8048987000719773,1.1387594110942088,1.0619260416862262,8,4,1
normal,50,act_Reactor_Temperature->Reactor_Pressure,actuator_process_residual,0.6988026668637971,1.2862084728386882,1.239122754440467,0,0,0
